,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      China and special administrative regions,    1981 to 1985,37080,0,765,21455,4660,10205
      China and special administrative regions,    1986 to 1990,86630,0,9875,50720,13150,12885
      China and special administrative regions,    1991 to 1995,137550,3510,19440,73725,16015,24860
      China and special administrative regions,    1996 to 2000,142520,14505,21810,87005,8615,10585
      China and special administrative regions,    2001 to 2006,162430,27690,19005,101570,6095,8075
      China and special administrative regions,  Non-permanent residents,29345,960,16180,11000,540,665
"        China, People's Republic of",Total - Immigrant Status and Period of Immigration,492800,40380,53680,254865,53220,90660
"        China, People's Republic of",  Non-immigrants,800,320,35,170,80,190
"        China, People's Republic of",  Immigrants,465930,39295,39180,244925,52695,89835
"        China, People's Republic of",    Before 1915,10,0,0,0,0,10
"        China, People's Republic of",    1916 to 1920,10,0,0,0,0,10
"        China, People's Republic of",    1921 to 1925,35,0,0,0,0,35
"        China, People's Republic of",    1926 to 1930,45,0,0,0,0,45
"        China, People's Republic of",    1931 to 1935,55,0,0,0,0,55
"        China, People's Republic of",    1936 to 1940,50,0,0,0,0,50
"        China, People's Republic of",    1941 to 1945,215,0,0,0,35,180
"        China, People's Republic of",    1946 to 1950,1830,0,0,0,170,1660
"        China, People's Republic of",    1951 to 1955,5625,0,0,80,785,4765
"        China, People's Republic of",    1956 to 1960,5955,0,0,330,1390,4230
"        China, People's Republic of",    1961 to 1965,4885,0,0,685,1580,2630
"        China, People's Republic of",    1966 to 1970,12835,0,0,1755,5290,5790
"        China, People's Republic of",    1970 to 1975,18070,0,0,4615,7100,6355
"        China, People's Republic of",    1976 to 1980,21215,0,0,7995,4825,8390
"        China, People's Republic of",    1981 to 1985,22470,0,195,10410,3270,8605
"        China, People's Republic of",    1986 to 1990,40260,0,2205,20670,7000,10385
"        China, People's Republic of",    1991 to 1995,69475,1695,5940,32785,9260,19795
"        China, People's Republic of",    1996 to 2000,108110,11300,13315,68195,6210,9095
"        China, People's Republic of",    2001 to 2006,154785,26305,17520,97410,5780,7765
"        China, People's Republic of",  Non-permanent residents,26070,765,14465,9770,440,635
"        Hong Kong, Special Administrative Region",Total - Immigrant Status and Period of Immigration,219500,6945,33225,135060,27670,16600
"        Hong Kong, Special Administrative Region",  Non-immigrants,1260,445,495,300,10,20
"        Hong Kong, Special Administrative Region",  Immigrants,215065,6310,31105,133540,27560,16550
"        Hong Kong, Special Administrative Region",    Before 1915,0,0,0,0,0,0
"        Hong Kong, Special Administrative Region",    1916 to 1920,10,0,0,0,0,10
"        Hong Kong, Special Administrative Region",    1921 to 1925,10,0,0,0,0,10
"        Hong Kong, Special Administrative Region",    1926 to 1930,10,0,0,0,0,10
"        Hong Kong, Special Administrative Region",    1931 to 1935,10,0,0,0,0,10
"        Hong Kong, Special Administrative Region",    1936 to 1940,20,0,0,0,0,20
"        Hong Kong, Special Administrative Region",    1941 to 1945,95,0,0,0,15,80
"        Hong Kong, Special Administrative Region",    1946 to 1950,135,0,0,0,35,105
"        Hong Kong, Special Administrative Region",    1951 to 1955,265,0,0,40,60,170
"        Hong Kong, Special Administrative Region",    1956 to 1960,665,0,0,255,140,270
"        Hong Kong, Special Administrative Region",    1961 to 1965,1985,0,0,950,365,670
"        Hong Kong, Special Administrative Region",    1966 to 1970,9085,0,0,4900,2405,1785
"        Hong Kong, Special Administrative Region",    1970 to 1975,19720,0,0,12315,5695,1710
"        Hong Kong, Special Administrative Region",    1976 to 1980,16565,0,0,12375,2790,1395
"        Hong Kong, Special Administrative Region",    1981 to 1985,14150,0,545,10770,1290,1545
"        Hong Kong, Special Administrative Region",    1986 to 1990,45090,0,7525,29420,5825,2325
"        Hong Kong, Special Administrative Region",    1991 to 1995,66440,1795,13305,40185,6405,4745
"        Hong Kong, Special Administrative Region",    1996 to 2000,33455,3145,8325,18290,2275,1415
"        Hong Kong, Special Administrative Region",    2001 to 2006,7365,1365,1405,4035,270,290
"        Hong Kong, Special Administrative Region",  Non-permanent residents,3170,190,1620,1220,100,30
"        Macau, Special Administrative Region",Total - Immigrant Status and Period of Immigration,6110,100,705,2700,1575,1030
"        Macau, Special Administrative Region",  Non-immigrants,10,0,0,10,0,0
"        Macau, Special Administrative Region",  Immigrants,5995,95,605,2690,1575,1030
"        Macau, Special Administrative Region",    Before 1915,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1916 to 1920,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1921 to 1925,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1926 to 1930,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1931 to 1935,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1936 to 1940,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1941 to 1945,10,0,0,0,10,0
"        Macau, Special Administrative Region",    1946 to 1950,10,0,0,0,0,10
"        Macau, Special Administrative Region",    1951 to 1955,0,0,0,0,0,0
"        Macau, Special Administrative Region",    1956 to 1960,65,0,0,0,0,65
"        Macau, Special Administrative Region",    1961 to 1965,40,0,0,0,10,30
"        Macau, Special Administrative Region",    1966 to 1970,310,0,0,65,180,65
"        Macau, Special Administrative Region",    1970 to 1975,570,0,0,145,280,140
"        Macau, Special Administrative Region",    1976 to 1980,385,0,0,170,145,70
"        Macau, Special Administrative Region",    1981 to 1985,460,0,25,275,105,60
"        Macau, Special Administrative Region",    1986 to 1990,1280,0,145,635,330,170
"        Macau, Special Administrative Region",    1991 to 1995,1630,15,190,755,345,320
"        Macau, Special Administrative Region",    1996 to 2000,960,60,170,520,130,75
"        Macau, Special Administrative Region",    2001 to 2006,285,20,80,115,45,20
"        Macau, Special Administrative Region",  Non-permanent residents,115,0,95,10,0,0
      Japan,Total - Immigrant Status and Period of Immigration,31070,2805,3495,17455,4110,3210
      Japan,  Non-immigrants,1325,700,195,345,60,25
      Japan,  Immigrants,21640,1350,965,12380,3860,3085
      Japan,    Before 1915,0,0,0,0,0,0
      Japan,    1916 to 1920,10,0,0,0,0,10
      Japan,    1921 to 1925,35,0,0,0,0,35
      Japan,    1926 to 1930,35,0,0,0,0,35
      Japan,    1931 to 1935,80,0,0,0,0,80
      Japan,    1936 to 1940,100,0,0,0,0,100
      Japan,    1941 to 1945,10,0,0,0,0,10
      Japan,    1946 to 1950,30,0,0,0,10,25
      Japan,    1951 to 1955,125,0,0,0,35,90
      Japan,    1956 to 1960,450,0,0,45,125,280
      Japan,    1961 to 1965,410,0,0,90,80,240
      Japan,    1966 to 1970,1600,0,0,280,620,700
      Japan,    1970 to 1975,2225,0,0,595,1120,505
      Japan,    1976 to 1980,1615,0,0,710,715,190
      Japan,    1981 to 1985,1350,0,50,805,390,115
      Japan,    1986 to 1990,1225,0,105,680,255,180
      Japan,    1991 to 1995,2525,30,170,1880,195,255
      Japan,    1996 to 2000,3995,405,240,3035,170,145
      Japan,    2001 to 2006,5825,915,400,4260,145,105
      Japan,  Non-permanent residents,8110,750,2335,4725,190,100
"      Korea, North",Total - Immigrant Status and Period of Immigration,165,10,0,20,30,100
"      Korea, North",  Non-immigrants,0,0,0,0,0,0
"      Korea, North",  Immigrants,160,10,0,20,30,100
"      Korea, North",    Before 1915,0,0,0,0,0,0
"      Korea, North",    1916 to 1920,0,0,0,0,0,0
"      Korea, North",    1921 to 1925,0,0,0,0,0,0
"      Korea, North",    1926 to 1930,0,0,0,0,0,0
"      Korea, North",    1931 to 1935,0,0,0,0,0,0
"      Korea, North",    1936 to 1940,0,0,0,0,0,0
"      Korea, North",    1941 to 1945,0,0,0,0,0,0
"      Korea, North",    1946 to 1950,0,0,0,0,0,0
"      Korea, North",    1951 to 1955,10,0,0,0,0,10
"      Korea, North",    1956 to 1960,10,0,0,0,0,10
"      Korea, North",    1961 to 1965,0,0,0,0,0,0
"      Korea, North",    1966 to 1970,0,0,0,0,0,0
"      Korea, North",    1970 to 1975,40,0,0,0,10,20
"      Korea, North",    1976 to 1980,15,0,0,0,10,10
"      Korea, North",    1981 to 1985,15,0,0,0,10,0
"      Korea, North",    1986 to 1990,25,0,0,0,10,15
"      Korea, North",    1991 to 1995,25,0,0,0,0,25
"      Korea, North",    1996 to 2000,10,0,0,0,0,10
"      Korea, North",    2001 to 2006,25,10,0,15,0,0
"      Korea, North",  Non-permanent residents,0,0,0,0,0,0
"      Korea, South",Total - Immigrant Status and Period of Immigration,118685,15565,23295,61520,10315,7975
"      Korea, South",  Non-immigrants,290,170,55,55,0,15
"      Korea, South",  Immigrants,98075,10680,16970,52545,10100,7770
"      Korea, South",    Before 1915,0,0,0,0,0,0
"      Korea, South",    1916 to 1920,0,0,0,0,0,0
"      Korea, South",    1921 to 1925,0,0,0,0,0,0
"      Korea, South",    1926 to 1930,0,0,0,0,0,0
"      Korea, South",    1931 to 1935,0,0,0,0,0,0
"      Korea, South",    1936 to 1940,30,0,0,0,0,30
"      Korea, South",    1941 to 1945,0,0,0,0,0,0
"      Korea, South",    1946 to 1950,10,0,0,0,10,0
"      Korea, South",    1951 to 1955,15,0,0,0,0,15
"      Korea, South",    1956 to 1960,40,0,0,0,20,20
"      Korea, South",    1961 to 1965,160,0,0,40,20,105
"      Korea, South",    1966 to 1970,2640,0,0,615,760,1265
"      Korea, South",    1970 to 1975,6850,0,0,2725,2380,1745
"      Korea, South",    1976 to 1980,4470,0,0,2605,1010,860
"      Korea, South",    1981 to 1985,3910,0,190,2485,510,730
"      Korea, South",    1986 to 1990,8280,0,895,4710,1470,1210
"      Korea, South",    1991 to 1995,13175,200,2375,7710,2190,705
"      Korea, South",    1996 to 2000,23120,2620,6015,13070,1035,380
"      Korea, South",    2001 to 2006,35355,7865,7495,18600,695,700
"      Korea, South",  Non-permanent residents,20325,4720,6270,8925,215,195
      Mongolia,Total - Immigrant Status and Period of Immigration,585,115,135,330,0,0
      Mongolia,  Non-immigrants,0,0,0,0,0,0
      Mongolia,  Immigrants,525,110,125,290,0,0
      Mongolia,    Before 1915,0,0,0,0,0,0
      Mongolia,    1916 to 1920,0,0,0,0,0,0
      Mongolia,    1921 to 1925,0,0,0,0,0,0
      Mongolia,    1926 to 1930,0,0,0,0,0,0
      Mongolia,    1931 to 1935,0,0,0,0,0,0
      Mongolia,    1936 to 1940,0,0,0,0,0,0
      Mongolia,    1941 to 1945,0,0,0,0,0,0
      Mongolia,    1946 to 1950,0,0,0,0,0,0
      Mongolia,    1951 to 1955,0,0,0,0,0,0
      Mongolia,    1956 to 1960,0,0,0,0,0,0
      Mongolia,    1961 to 1965,0,0,0,0,0,0
      Mongolia,    1966 to 1970,0,0,0,0,0,0
      Mongolia,    1970 to 1975,0,0,0,0,0,0
      Mongolia,    1976 to 1980,0,0,0,0,0,0
      Mongolia,    1981 to 1985,0,0,0,0,0,0
      Mongolia,    1986 to 1990,0,0,0,0,0,0
      Mongolia,    1991 to 1995,15,0,0,10,0,0
      Mongolia,    1996 to 2000,75,20,15,40,0,0
      Mongolia,    2001 to 2006,435,85,105,240,0,0
      Mongolia,  Non-permanent residents,65,10,15,45,0,0
      Taiwan,Total - Immigrant Status and Period of Immigration,68160,5065,15665,36850,7475,3105
      Taiwan,  Non-immigrants,205,135,50,20,0,0
      Taiwan,  Immigrants,65075,4695,14195,35765,7360,3060
      Taiwan,    Before 1915,0,0,0,0,0,0
      Taiwan,    1916 to 1920,0,0,0,0,0,0
      Taiwan,    1921 to 1925,0,0,0,0,0,0
      Taiwan,    1926 to 1930,0,0,0,0,0,0
      Taiwan,    1931 to 1935,0,0,0,0,0,0
      Taiwan,    1936 to 1940,0,0,0,0,0,0
      Taiwan,    1941 to 1945,10,0,0,0,0,10
      Taiwan,    1946 to 1950,0,0,0,0,0,0
      Taiwan,    1951 to 1955,10,0,0,0,0,10
      Taiwan,    1956 to 1960,40,0,0,25,0,10
      Taiwan,    1961 to 1965,165,0,0,65,35,60
      Taiwan,    1966 to 1970,995,0,0,445,255,290
      Taiwan,    1970 to 1975,1810,0,0,900,670,230
      Taiwan,    1976 to 1980,1650,0,0,1035,400,215
      Taiwan,    1981 to 1985,1870,0,115,1280,290,190
      Taiwan,    1986 to 1990,6095,0,780,3730,1145,435
      Taiwan,    1991 to 1995,17205,455,3850,9515,2425,960
      Taiwan,    1996 to 2000,24535,2295,7035,13040,1785,380
      Taiwan,    2001 to 2006,10685,1940,2415,5720,345,255
      Taiwan,  Non-permanent residents,2880,235,1425,1060,115,50
    Southeast Asia,Total - Immigrant Status and Period of Immigration,585365,29065,57025,377870,68185,53210
    Southeast Asia,  Non-immigrants,2685,940,690,920,35,100
    Southeast Asia,  Immigrants,560230,27265,52965,359590,67695,52715
    Southeast Asia,    Before 1915,0,0,0,0,0,0
    Southeast Asia,    1916 to 1920,10,0,0,0,0,10
    Southeast Asia,    1921 to 1925,15,0,0,0,0,15
    Southeast Asia,    1926 to 1930,10,0,0,0,0,10
    Southeast Asia,    1931 to 1935,15,0,0,0,0,15
    Southeast Asia,    1936 to 1940,30,0,0,0,0,30
    Southeast Asia,    1941 to 1945,80,0,0,0,20,55
    Southeast Asia,    1946 to 1950,235,0,0,0,50,180
    Southeast Asia,    1951 to 1955,740,0,0,40,190,505
    Southeast Asia,    1956 to 1960,1080,0,0,185,170,720
    Southeast Asia,    1961 to 1965,2160,0,0,245,400,1510
    Southeast Asia,    1966 to 1970,11435,0,0,1990,5135,4310
    Southeast Asia,    1970 to 1975,34585,0,0,13505,15025,6055
    Southeast Asia,    1976 to 1980,70510,0,0,50300,12750,7465
    Southeast Asia,    1981 to 1985,65600,0,1970,48670,7670,7285
    Southeast Asia,    1986 to 1990,93525,0,10625,66650,9025,7220
    Southeast Asia,    1991 to 1995,108940,1890,13820,74575,9015,9640
    Southeast Asia,    1996 to 2000,71175,6090,10575,46365,3995,4155
    Southeast Asia,    2001 to 2006,100100,19285,15980,57065,4235,3540
    Southeast Asia,  Non-permanent residents,22450,860,3375,17365,450,395
      Brunei Darussalam,Total - Immigrant Status and Period of Immigration,4540,165,495,3080,605,195
      Brunei Darussalam,  Non-immigrants,55,25,0,30,0,0
      Brunei Darussalam,  Immigrants,4425,140,465,3025,605,195
      Brunei Darussalam,    Before 1915,0,0,0,0,0,0
      Brunei Darussalam,    1916 to 1920,0,0,0,0,0,0
      Brunei Darussalam,    1921 to 1925,0,0,0,0,0,0
      Brunei Darussalam,    1926 to 1930,0,0,0,0,0,0
      Brunei Darussalam,    1931 to 1935,0,0,0,0,0,0
      Brunei Darussalam,    1936 to 1940,0,0,0,0,0,0
      Brunei Darussalam,    1941 to 1945,0,0,0,0,0,0
      Brunei Darussalam,    1946 to 1950,0,0,0,0,0,0
      Brunei Darussalam,    1951 to 1955,0,0,0,0,0,0
      Brunei Darussalam,    1956 to 1960,0,0,0,0,0,0
      Brunei Darussalam,    1961 to 1965,10,0,0,10,0,0
      Brunei Darussalam,    1966 to 1970,150,0,0,85,50,15
      Brunei Darussalam,    1970 to 1975,380,0,0,190,165,30
      Brunei Darussalam,    1976 to 1980,525,0,0,420,80,25
      Brunei Darussalam,    1981 to 1985,530,0,10,400,85,35
      Brunei Darussalam,    1986 to 1990,1960,0,325,1420,160,60
      Brunei Darussalam,    1991 to 1995,615,55,95,395,50,30
      Brunei Darussalam,    1996 to 2000,120,15,25,75,10,0
      Brunei Darussalam,    2001 to 2006,120,75,15,30,0,0
      Brunei Darussalam,  Non-permanent residents,60,0,35,25,0,0
      Cambodia,Total - Immigrant Status and Period of Immigration,20585,300,1500,14735,2315,1730
      Cambodia,  Non-immigrants,95,10,15,65,0,10
      Cambodia,  Immigrants,20175,280,1375,14480,2310,1725
      Cambodia,    Before 1915,0,0,0,0,0,0
      Cambodia,    1916 to 1920,0,0,0,0,0,0
      Cambodia,    1921 to 1925,10,0,0,0,0,10
      Cambodia,    1926 to 1930,0,0,0,0,0,0
      Cambodia,    1931 to 1935,10,0,0,0,0,10
      Cambodia,    1936 to 1940,0,0,0,0,0,0
      Cambodia,    1941 to 1945,0,0,0,0,0,0
      Cambodia,    1946 to 1950,10,0,0,0,10,0
      Cambodia,    1951 to 1955,0,0,0,0,0,0
      Cambodia,    1956 to 1960,25,0,0,10,15,10
      Cambodia,    1961 to 1965,10,0,0,0,0,10
      Cambodia,    1966 to 1970,60,0,0,20,30,10
      Cambodia,    1970 to 1975,450,0,0,225,160,65
      Cambodia,    1976 to 1980,3315,0,0,2480,585,250
      Cambodia,    1981 to 1985,6160,0,135,4735,765,525
      Cambodia,    1986 to 1990,5350,0,375,4125,345,510
      Cambodia,    1991 to 1995,2095,0,120,1595,180,200
      Cambodia,    1996 to 2000,1155,90,130,735,110,85
      Cambodia,    2001 to 2006,1535,185,620,560,115,60
      Cambodia,  Non-permanent residents,315,10,115,180,10,0
      East Timor,Total - Immigrant Status and Period of Immigration,15,0,0,10,10,0
      East Timor,  Non-immigrants,0,0,0,0,0,0
      East Timor,  Immigrants,15,0,0,10,10,0
      East Timor,    Before 1915,0,0,0,0,0,0
      East Timor,    1916 to 1920,0,0,0,0,0,0
      East Timor,    1921 to 1925,0,0,0,0,0,0
      East Timor,    1926 to 1930,0,0,0,0,0,0
      East Timor,    1931 to 1935,0,0,0,0,0,0
      East Timor,    1936 to 1940,0,0,0,0,0,0
      East Timor,    1941 to 1945,0,0,0,0,0,0
      East Timor,    1946 to 1950,0,0,0,0,0,0
      East Timor,    1951 to 1955,0,0,0,0,0,0
      East Timor,    1956 to 1960,0,0,0,0,0,0
      East Timor,    1961 to 1965,0,0,0,0,0,0
      East Timor,    1966 to 1970,0,0,0,0,0,0
      East Timor,    1970 to 1975,0,0,0,0,0,0
      East Timor,    1976 to 1980,0,0,0,0,0,0
      East Timor,    1981 to 1985,0,0,0,0,0,0
      East Timor,    1986 to 1990,10,0,0,0,10,0
      East Timor,    1991 to 1995,0,0,0,0,0,0
      East Timor,    1996 to 2000,0,0,0,0,0,0
      East Timor,    2001 to 2006,10,0,0,10,0,0
      East Timor,  Non-permanent residents,0,0,0,0,0,0
      Indonesia,Total - Immigrant Status and Period of Immigration,13775,1120,1725,5910,1965,3050
      Indonesia,  Non-immigrants,210,100,50,55,0,10
      Indonesia,  Immigrants,12215,905,1070,5260,1950,3030
      Indonesia,    Before 1915,0,0,0,0,0,0
      Indonesia,    1916 to 1920,0,0,0,0,0,0
      Indonesia,    1921 to 1925,0,0,0,0,0,0
      Indonesia,    1926 to 1930,10,0,0,0,0,10
      Indonesia,    1931 to 1935,10,0,0,0,0,10
      Indonesia,    1936 to 1940,0,0,0,0,0,0
      Indonesia,    1941 to 1945,15,0,0,0,0,15
      Indonesia,    1946 to 1950,115,0,0,0,15,100
      Indonesia,    1951 to 1955,545,0,0,20,130,395
      Indonesia,    1956 to 1960,625,0,0,40,105,485
      Indonesia,    1961 to 1965,305,0,0,25,35,245
      Indonesia,    1966 to 1970,1155,0,0,210,345,600
      Indonesia,    1970 to 1975,905,0,0,235,435,235
      Indonesia,    1976 to 1980,745,0,0,365,185,195
      Indonesia,    1981 to 1985,775,0,50,440,150,145
      Indonesia,    1986 to 1990,1265,0,205,670,200,190
      Indonesia,    1991 to 1995,1055,70,140,500,110,235
      Indonesia,    1996 to 2000,1840,300,220,1130,120,75
      Indonesia,    2001 to 2006,2855,540,450,1630,120,110
      Indonesia,  Non-permanent residents,1345,115,610,595,15,10
      Laos,Total - Immigrant Status and Period of Immigration,14575,75,575,11335,1575,1020
      Laos,  Non-immigrants,45,0,15,20,10,0
      Laos,  Immigrants,14445,70,555,11260,1550,1015
      Laos,    Before 1915,0,0,0,0,0,0
      Laos,    1916 to 1920,0,0,0,0,0,0
      Laos,    1921 to 1925,0,0,0,0,0,0
      Laos,    1926 to 1930,0,0,0,0,0,0
      Laos,    1931 to 1935,0,0,0,0,0,0
      Laos,    1936 to 1940,0,0,0,0,0,0
      Laos,    1941 to 1945,0,0,0,0,0,0
      Laos,    1946 to 1950,0,0,0,0,0,0
      Laos,    1951 to 1955,10,0,0,0,10,0
      Laos,    1956 to 1960,10,0,0,0,10,0
      Laos,    1961 to 1965,10,0,0,10,0,0
      Laos,    1966 to 1970,40,0,0,30,0,10
      Laos,    1970 to 1975,110,0,0,60,20,30
      Laos,    1976 to 1980,6695,0,0,5320,915,465
      Laos,    1981 to 1985,3010,0,40,2365,345,265
      Laos,    1986 to 1990,2565,0,265,2015,140,140
      Laos,    1991 to 1995,1335,10,145,1015,75,90
      Laos,    1996 to 2000,320,10,45,235,25,10
      Laos,    2001 to 2006,350,45,55,220,15,10
      Laos,  Non-permanent residents,80,0,10,55,15,10
      Malaysia,Total - Immigrant Status and Period of Immigration,23090,820,2215,13155,4170,2730
      Malaysia,  Non-immigrants,215,85,70,55,0,0
      Malaysia,  Immigrants,21860,610,1795,12565,4165,2725
      Malaysia,    Before 1915,0,0,0,0,0,0
      Malaysia,    1916 to 1920,0,0,0,0,0,0
      Malaysia,    1921 to 1925,0,0,0,0,0,0
      Malaysia,    1926 to 1930,0,0,0,0,0,0
      Malaysia,    1931 to 1935,0,0,0,0,0,0
      Malaysia,    1936 to 1940,0,0,0,0,0,0
      Malaysia,    1941 to 1945,0,0,0,0,0,0
      Malaysia,    1946 to 1950,20,0,0,0,0,20
      Malaysia,    1951 to 1955,45,0,0,10,10,20
      Malaysia,    1956 to 1960,75,0,0,15,20,35
      Malaysia,    1961 to 1965,160,0,0,25,35,90
      Malaysia,    1966 to 1970,1025,0,0,295,320,405
      Malaysia,    1970 to 1975,2315,0,0,890,1090,335
      Malaysia,    1976 to 1980,2530,0,0,1425,755,340
      Malaysia,    1981 to 1985,2350,0,90,1675,325,255
      Malaysia,    1986 to 1990,5785,0,915,3545,830,500
      Malaysia,    1991 to 1995,3775,50,460,2295,520,455
      Malaysia,    1996 to 2000,1680,165,125,1125,135,135
      Malaysia,    2001 to 2006,2115,395,200,1275,110,125
      Malaysia,  Non-permanent residents,1015,120,350,535,10,10
      Myanmar,Total - Immigrant Status and Period of Immigration,4990,155,380,2885,670,910
      Myanmar,  Non-immigrants,20,0,0,10,0,10
      Myanmar,  Immigrants,4785,130,360,2745,670,885
      Myanmar,    Before 1915,0,0,0,0,0,0
      Myanmar,    1916 to 1920,0,0,0,0,0,0
      Myanmar,    1921 to 1925,0,0,0,0,0,0
      Myanmar,    1926 to 1930,0,0,0,0,0,0
      Myanmar,    1931 to 1935,0,0,0,0,0,0
      Myanmar,    1936 to 1940,0,0,0,0,0,0
      Myanmar,    1941 to 1945,0,0,0,0,0,0
      Myanmar,    1946 to 1950,15,0,0,0,0,15
      Myanmar,    1951 to 1955,35,0,0,0,10,25
      Myanmar,    1956 to 1960,55,0,0,10,0,40
      Myanmar,    1961 to 1965,120,0,0,20,10,85
      Myanmar,    1966 to 1970,225,0,0,30,50,140
      Myanmar,    1970 to 1975,590,0,0,265,160,160
      Myanmar,    1976 to 1980,610,0,0,370,125,120
      Myanmar,    1981 to 1985,225,0,15,105,50,65
      Myanmar,    1986 to 1990,465,0,15,350,50,45
      Myanmar,    1991 to 1995,795,0,60,540,85,110
      Myanmar,    1996 to 2000,610,45,55,415,65,35
      Myanmar,    2001 to 2006,1030,80,220,645,50,35
      Myanmar,  Non-permanent residents,180,20,25,130,0,10
      Philippines,Total - Immigrant Status and Period of Immigration,319890,21530,34070,198040,39195,27060
      Philippines,  Non-immigrants,775,350,165,230,10,20
      Philippines,  Immigrants,302850,20780,32740,183590,38905,26835
      Philippines,    Before 1915,0,0,0,0,0,0
      Philippines,    1916 to 1920,10,0,0,0,0,10
      Philippines,    1921 to 1925,0,0,0,0,0,0
      Philippines,    1926 to 1930,0,0,0,0,0,0
      Philippines,    1931 to 1935,0,0,0,0,0,0
      Philippines,    1936 to 1940,15,0,0,0,0,15
      Philippines,    1941 to 1945,35,0,0,0,10,20
      Philippines,    1946 to 1950,15,0,0,0,0,15
      Philippines,    1951 to 1955,15,0,0,0,0,15
      Philippines,    1956 to 1960,150,0,0,35,20,100
      Philippines,    1961 to 1965,1365,0,0,110,260,995
      Philippines,    1966 to 1970,7605,0,0,945,3905,2760
      Philippines,    1970 to 1975,24160,0,0,8755,11390,4015
      Philippines,    1976 to 1980,18960,0,0,11095,4905,2965
      Philippines,    1981 to 1985,15970,0,205,11005,2245,2520
      Philippines,    1986 to 1990,39310,0,3885,27555,4780,3090
      Philippines,    1991 to 1995,65405,1245,8415,45075,5695,4975
      Philippines,    1996 to 2000,52015,4120,8445,33925,2805,2725
      Philippines,    2001 to 2006,77820,15415,11785,45100,2900,2610
      Philippines,  Non-permanent residents,16260,400,1160,14220,275,205
      Singapore,Total - Immigrant Status and Period of Immigration,10665,1195,1515,5465,1450,1035
      Singapore,  Non-immigrants,445,115,175,145,0,0
      Singapore,  Immigrants,9855,1035,1195,5165,1425,1035
      Singapore,    Before 1915,0,0,0,0,0,0
      Singapore,    1916 to 1920,0,0,0,0,0,0
      Singapore,    1921 to 1925,0,0,0,0,0,0
      Singapore,    1926 to 1930,0,0,0,0,0,0
      Singapore,    1931 to 1935,0,0,0,0,0,0
      Singapore,    1936 to 1940,0,0,0,0,0,0
      Singapore,    1941 to 1945,10,0,0,0,0,10
      Singapore,    1946 to 1950,25,0,0,0,10,20
      Singapore,    1951 to 1955,25,0,0,0,25,10
      Singapore,    1956 to 1960,40,0,0,15,0,25
      Singapore,    1961 to 1965,95,0,0,25,25,50
      Singapore,    1966 to 1970,465,0,0,165,100,200
      Singapore,    1970 to 1975,745,0,0,300,300,140
      Singapore,    1976 to 1980,760,0,0,425,205,130
      Singapore,    1981 to 1985,685,0,45,455,90,100
      Singapore,    1986 to 1990,2235,0,390,1380,285,180
      Singapore,    1991 to 1995,1560,70,280,915,190,105
      Singapore,    1996 to 2000,1405,275,255,680,145,50
      Singapore,    2001 to 2006,1800,695,230,800,55,25
      Singapore,  Non-permanent residents,370,45,145,155,25,0
      Thailand,Total - Immigrant Status and Period of Immigration,10800,1170,3985,4995,405,245
      Thailand,  Non-immigrants,405,165,150,95,0,0
      Thailand,  Immigrants,9675,960,3585,4495,390,240
      Thailand,    Before 1915,0,0,0,0,0,0
      Thailand,    1916 to 1920,0,0,0,0,0,0
      Thailand,    1921 to 1925,0,0,0,0,0,0
      Thailand,    1926 to 1930,0,0,0,0,0,0
      Thailand,    1931 to 1935,0,0,0,0,0,0
      Thailand,    1936 to 1940,10,0,0,0,0,10
      Thailand,    1941 to 1945,0,0,0,0,0,0
      Thailand,    1946 to 1950,0,0,0,0,0,0
      Thailand,    1951 to 1955,10,0,0,0,0,10
      Thailand,    1956 to 1960,0,0,0,0,0,0
      Thailand,    1961 to 1965,15,0,0,0,0,10
      Thailand,    1966 to 1970,115,0,0,20,50,40
      Thailand,    1970 to 1975,185,0,0,55,100,30
      Thailand,    1976 to 1980,775,0,0,715,45,15
      Thailand,    1981 to 1985,1600,0,775,730,65,30
      Thailand,    1986 to 1990,2495,0,1720,685,60,25
      Thailand,    1991 to 1995,1355,130,620,545,30,15
      Thailand,    1996 to 2000,1175,350,215,550,15,45
      Thailand,    2001 to 2006,1945,480,255,1180,30,10
      Thailand,  Non-permanent residents,715,40,250,405,15,10
      Viet Nam,Total - Immigrant Status and Period of Immigration,162435,2540,10560,118270,15835,15240
      Viet Nam,  Non-immigrants,400,85,55,200,15,45
      Viet Nam,  Immigrants,159935,2350,9830,117000,15725,15035
      Viet Nam,    Before 1915,0,0,0,0,0,0
      Viet Nam,    1916 to 1920,0,0,0,0,0,0
      Viet Nam,    1921 to 1925,10,0,0,0,0,10
      Viet Nam,    1926 to 1930,0,0,0,0,0,0
      Viet Nam,    1931 to 1935,0,0,0,0,0,0
      Viet Nam,    1936 to 1940,10,0,0,0,0,10
      Viet Nam,    1941 to 1945,25,0,0,0,15,15
      Viet Nam,    1946 to 1950,30,0,0,0,10,20
