,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      China and Special Administrative Regions,    Before 1915,10,0,0,0,0,10,,,
      China and Special Administrative Regions,    1916 to 1920,30,0,0,0,0,30,,,
      China and Special Administrative Regions,    1921 to 1925,75,0,0,0,0,75,,,
      China and Special Administrative Regions,    1926 to 1930,35,0,0,0,0,35,,,
      China and Special Administrative Regions,    1931 to 1935,40,0,0,0,0,40,,,
      China and Special Administrative Regions,    1936 to 1940,70,0,0,0,0,70,,,
      China and Special Administrative Regions,    1941 to 1945,165,0,0,0,40,125,,,
      China and Special Administrative Regions,    1946 to 1950,2390,0,0,130,525,1735,,,
      China and Special Administrative Regions,    1951 to 1955,6710,0,0,870,1485,4355,,,
      China and Special Administrative Regions,    1956 to 1960,7565,0,0,1835,2435,3295,,,
      China and Special Administrative Regions,    1961 to 1965,7070,0,0,2735,2100,2235,,,
      China and Special Administrative Regions,    1966 to 1970,22750,0,0,10280,6635,5835,,,
      China and Special Administrative Regions,    1971 to 1975,39255,0,0,26130,6210,6915,,,
      China and Special Administrative Regions,    1976 to 1980,39160,0,995,25095,3975,9090,,,
      China and Special Administrative Regions,    1981 to 1985,39445,0,3200,23295,3120,9830,,,
      China and Special Administrative Regions,    1986 to 1990,90945,2445,14055,54620,7580,12245,,,
      China and Special Administrative Regions,    1991 to 1995,155320,12325,24610,84615,12365,21410,,,
      China and Special Administrative Regions,    1996 to 2001,163250,29685,16615,101360,7315,8280,,,
      China and Special Administrative Regions,  Non-permanent residents,16210,740,8265,5995,550,660,,,
"        China, People's Republic of",Total - Immigrant Status and Period of Immigration,344765,27940,23420,180580,39345,73475,,,
"        China, People's Republic of",  Non-immigrants,575,170,25,180,90,110,,,
"        China, People's Republic of",  Immigrants,332270,27265,17635,175830,38785,72760,,,
"        China, People's Republic of",    Before 1915,10,0,0,0,0,10,,,
"        China, People's Republic of",    1916 to 1920,20,0,0,0,0,20,,,
"        China, People's Republic of",    1921 to 1925,65,0,0,0,0,65,,,
"        China, People's Republic of",    1926 to 1930,30,0,0,0,0,30,,,
"        China, People's Republic of",    1931 to 1935,35,0,0,0,0,35,,,
"        China, People's Republic of",    1936 to 1940,65,0,0,0,0,65,,,
"        China, People's Republic of",    1941 to 1945,130,0,0,0,40,85,,,
"        China, People's Republic of",    1946 to 1950,2320,0,0,130,495,1695,,,
"        China, People's Republic of",    1951 to 1955,6450,0,0,815,1420,4210,,,
"        China, People's Republic of",    1956 to 1960,6695,0,0,1455,2240,2995,,,
"        China, People's Republic of",    1961 to 1965,5245,0,0,1640,1645,1960,,,
"        China, People's Republic of",    1966 to 1970,13240,0,0,4155,4270,4815,,,
"        China, People's Republic of",    1971 to 1975,17580,0,0,7905,3945,5730,,,
"        China, People's Republic of",    1976 to 1980,21190,0,470,9855,3005,7865,,,
"        China, People's Republic of",    1981 to 1985,22735,0,960,10850,2365,8555,,,
"        China, People's Republic of",    1986 to 1990,39545,445,2115,21800,4815,10360,,,
"        China, People's Republic of",    1991 to 1995,72370,4370,5525,36840,8545,17080,,,
"        China, People's Republic of",    1996 to 2001,124545,22445,8570,80385,5980,7165,,,
"        China, People's Republic of",  Non-permanent residents,11920,505,5765,4570,470,605,,,
        Hong Kong,Total - Immigrant Status and Period of Immigration,240405,17500,43830,152925,14095,12050,,,
        Hong Kong,  Non-immigrants,960,405,300,220,15,15,,,
        Hong Kong,  Immigrants,235310,16890,41110,151330,14010,11975,,,
        Hong Kong,    Before 1915,0,0,0,0,0,0,,,
        Hong Kong,    1916 to 1920,0,0,0,0,0,0,,,
        Hong Kong,    1921 to 1925,0,0,0,0,0,0,,,
        Hong Kong,    1926 to 1930,0,0,0,0,0,0,,,
        Hong Kong,    1931 to 1935,10,0,0,0,0,10,,,
        Hong Kong,    1936 to 1940,0,0,0,0,0,0,,,
        Hong Kong,    1941 to 1945,30,0,0,0,0,30,,,
        Hong Kong,    1946 to 1950,70,0,0,10,25,35,,,
        Hong Kong,    1951 to 1955,245,0,0,45,60,135,,,
        Hong Kong,    1956 to 1960,815,0,0,375,170,275,,,
        Hong Kong,    1961 to 1965,1715,0,0,1035,440,240,,,
        Hong Kong,    1966 to 1970,9075,0,0,5960,2145,970,,,
        Hong Kong,    1971 to 1975,21120,0,0,17900,2120,1105,,,
        Hong Kong,    1976 to 1980,17475,0,495,14865,925,1190,,,
        Hong Kong,    1981 to 1985,16225,0,2145,12220,680,1185,,,
        Hong Kong,    1986 to 1990,50280,1980,11815,32090,2640,1765,,,
        Hong Kong,    1991 to 1995,80630,7845,18785,46485,3540,3980,,,
        Hong Kong,    1996 to 2001,37600,7060,7875,20355,1275,1035,,,
        Hong Kong,  Non-permanent residents,4135,200,2420,1375,70,60,,,
        Macau,Total - Immigrant Status and Period of Immigration,6850,325,810,3860,995,860,,,
        Macau,  Non-immigrants,0,0,0,0,0,0,,,
        Macau,  Immigrants,6690,295,735,3805,995,860,,,
        Macau,    Before 1915,0,0,0,0,0,0,,,
        Macau,    1916 to 1920,0,0,0,0,0,0,,,
        Macau,    1921 to 1925,0,0,0,0,0,0,,,
        Macau,    1926 to 1930,0,0,0,0,0,0,,,
        Macau,    1931 to 1935,0,0,0,0,0,0,,,
        Macau,    1936 to 1940,0,0,0,0,0,0,,,
        Macau,    1941 to 1945,0,0,0,0,0,0,,,
        Macau,    1946 to 1950,0,0,0,0,0,0,,,
        Macau,    1951 to 1955,20,0,0,10,0,10,,,
        Macau,    1956 to 1960,55,0,0,0,25,20,,,
        Macau,    1961 to 1965,110,0,0,55,20,35,,,
        Macau,    1966 to 1970,435,0,0,160,225,45,,,
        Macau,    1971 to 1975,550,0,0,330,145,80,,,
        Macau,    1976 to 1980,495,0,30,375,50,40,,,
        Macau,    1981 to 1985,485,0,95,230,70,90,,,
        Macau,    1986 to 1990,1120,15,135,730,125,120,,,
        Macau,    1991 to 1995,2320,105,295,1290,280,350,,,
        Macau,    1996 to 2001,1110,175,170,625,60,80,,,
        Macau,  Non-permanent residents,160,30,75,55,0,0,,,
      Japan,Total - Immigrant Status and Period of Immigration,26795,2165,3690,15975,2700,2255,,,
      Japan,  Non-immigrants,965,475,100,315,20,55,,,
      Japan,  Immigrants,17560,995,835,11045,2575,2125,,,
      Japan,    Before 1915,0,0,0,0,0,0,,,
      Japan,    1916 to 1920,20,0,0,0,0,20,,,
      Japan,    1921 to 1925,35,0,0,0,0,35,,,
      Japan,    1926 to 1930,100,0,0,0,0,100,,,
      Japan,    1931 to 1935,95,0,0,0,0,95,,,
      Japan,    1936 to 1940,130,0,0,0,0,130,,,
      Japan,    1941 to 1945,25,0,0,0,0,25,,,
      Japan,    1946 to 1950,30,0,0,0,0,20,,,
      Japan,    1951 to 1955,165,0,0,35,25,100,,,
      Japan,    1956 to 1960,530,0,0,150,95,290,,,
      Japan,    1961 to 1965,415,0,0,130,120,165,,,
      Japan,    1966 to 1970,1950,0,0,660,915,375,,,
      Japan,    1971 to 1975,2225,0,0,1290,730,205,,,
      Japan,    1976 to 1980,1420,0,55,1045,235,80,,,
      Japan,    1981 to 1985,1255,0,120,940,110,80,,,
      Japan,    1986 to 1990,1270,25,150,855,105,140,,,
      Japan,    1991 to 1995,2780,175,170,2095,150,190,,,
      Japan,    1996 to 2001,5135,790,335,3845,80,80,,,
      Japan,  Non-permanent residents,8265,695,2765,4620,110,75,,,
"      Korea, North",Total - Immigrant Status and Period of Immigration,110,10,0,20,45,40,,,
"      Korea, North",  Non-immigrants,0,0,0,0,0,0,,,
"      Korea, North",  Immigrants,110,10,0,20,45,40,,,
"      Korea, North",    Before 1915,0,0,0,0,0,0,,,
"      Korea, North",    1916 to 1920,0,0,0,0,0,0,,,
"      Korea, North",    1921 to 1925,0,0,0,0,0,0,,,
"      Korea, North",    1926 to 1930,0,0,0,0,0,0,,,
"      Korea, North",    1931 to 1935,0,0,0,0,0,0,,,
"      Korea, North",    1936 to 1940,0,0,0,0,0,0,,,
"      Korea, North",    1941 to 1945,0,0,0,0,0,0,,,
"      Korea, North",    1946 to 1950,0,0,0,0,0,0,,,
"      Korea, North",    1951 to 1955,0,0,0,0,0,0,,,
"      Korea, North",    1956 to 1960,0,0,0,0,0,0,,,
"      Korea, North",    1961 to 1965,0,0,0,0,0,0,,,
"      Korea, North",    1966 to 1970,35,0,0,10,15,15,,,
"      Korea, North",    1971 to 1975,35,0,0,10,15,10,,,
"      Korea, North",    1976 to 1980,10,0,0,0,10,10,,,
"      Korea, North",    1981 to 1985,0,0,0,0,0,0,,,
"      Korea, North",    1986 to 1990,15,10,0,10,0,0,,,
"      Korea, North",    1991 to 1995,0,0,0,0,0,0,,,
"      Korea, North",    1996 to 2001,10,0,0,10,0,10,,,
"      Korea, North",  Non-permanent residents,0,0,0,0,0,0,,,
"      Korea, South",Total - Immigrant Status and Period of Immigration,82265,10350,15285,44235,7905,4485,,,
"      Korea, South",  Non-immigrants,145,50,40,40,0,10,,,
"      Korea, South",  Immigrants,70345,8580,11110,38480,7795,4380,,,
"      Korea, South",    Before 1915,0,0,0,0,0,0,,,
"      Korea, South",    1916 to 1920,0,0,0,0,0,0,,,
"      Korea, South",    1921 to 1925,0,0,0,0,0,0,,,
"      Korea, South",    1926 to 1930,0,0,0,0,0,0,,,
"      Korea, South",    1931 to 1935,0,0,0,0,0,0,,,
"      Korea, South",    1936 to 1940,10,0,0,0,0,10,,,
"      Korea, South",    1941 to 1945,0,0,0,0,0,0,,,
"      Korea, South",    1946 to 1950,0,0,0,0,0,0,,,
"      Korea, South",    1951 to 1955,35,0,0,0,10,20,,,
"      Korea, South",    1956 to 1960,30,0,0,0,0,25,,,
"      Korea, South",    1961 to 1965,170,0,0,40,45,85,,,
"      Korea, South",    1966 to 1970,2675,0,0,745,1420,510,,,
"      Korea, South",    1971 to 1975,7050,0,0,3965,2170,915,,,
"      Korea, South",    1976 to 1980,4820,0,150,3210,675,790,,,
"      Korea, South",    1981 to 1985,4725,0,800,2900,425,600,,,
"      Korea, South",    1986 to 1990,8695,365,1550,4890,1280,605,,,
"      Korea, South",    1991 to 1995,12975,940,3260,7195,1110,470,,,
"      Korea, South",    1996 to 2001,29165,7270,5345,15525,655,365,,,
"      Korea, South",  Non-permanent residents,11770,1720,4135,5710,105,95,,,
      Mongolia,Total - Immigrant Status and Period of Immigration,140,20,10,90,0,20,,,
      Mongolia,  Non-immigrants,10,0,0,0,0,10,,,
      Mongolia,  Immigrants,95,15,10,65,0,0,,,
      Mongolia,    Before 1915,0,0,0,0,0,0,,,
      Mongolia,    1916 to 1920,0,0,0,0,0,0,,,
      Mongolia,    1921 to 1925,0,0,0,0,0,0,,,
      Mongolia,    1926 to 1930,0,0,0,0,0,0,,,
      Mongolia,    1931 to 1935,0,0,0,0,0,0,,,
      Mongolia,    1936 to 1940,0,0,0,0,0,0,,,
      Mongolia,    1941 to 1945,0,0,0,0,0,0,,,
      Mongolia,    1946 to 1950,0,0,0,0,0,0,,,
      Mongolia,    1951 to 1955,0,0,0,0,0,0,,,
      Mongolia,    1956 to 1960,0,0,0,0,0,0,,,
      Mongolia,    1961 to 1965,0,0,0,0,0,0,,,
      Mongolia,    1966 to 1970,10,0,0,0,0,10,,,
      Mongolia,    1971 to 1975,10,0,0,10,0,0,,,
      Mongolia,    1976 to 1980,0,0,0,0,0,0,,,
      Mongolia,    1981 to 1985,10,0,0,0,0,10,,,
      Mongolia,    1986 to 1990,0,0,0,0,0,0,,,
      Mongolia,    1991 to 1995,0,0,0,0,0,0,,,
      Mongolia,    1996 to 2001,85,15,10,60,0,0,,,
      Mongolia,  Non-permanent residents,35,0,0,25,0,0,,,
      Taiwan,Total - Immigrant Status and Period of Immigration,70520,7845,18520,36845,4505,2805,,,
      Taiwan,  Non-immigrants,170,75,45,30,0,0,,,
      Taiwan,  Immigrants,66970,7615,16355,35815,4450,2740,,,
      Taiwan,    Before 1915,0,0,0,0,0,0,,,
      Taiwan,    1916 to 1920,0,0,0,0,0,0,,,
      Taiwan,    1921 to 1925,0,0,0,0,0,0,,,
      Taiwan,    1926 to 1930,0,0,0,0,0,0,,,
      Taiwan,    1931 to 1935,0,0,0,0,0,0,,,
      Taiwan,    1936 to 1940,0,0,0,0,0,0,,,
      Taiwan,    1941 to 1945,10,0,0,0,10,0,,,
      Taiwan,    1946 to 1950,0,0,0,0,0,0,,,
      Taiwan,    1951 to 1955,10,0,0,10,0,0,,,
      Taiwan,    1956 to 1960,0,0,0,0,0,0,,,
      Taiwan,    1961 to 1965,170,0,0,85,50,35,,,
      Taiwan,    1966 to 1970,1090,0,0,510,435,140,,,
      Taiwan,    1971 to 1975,1605,0,0,1065,385,155,,,
      Taiwan,    1976 to 1980,1930,0,110,1320,230,270,,,
      Taiwan,    1981 to 1985,1750,0,185,1185,170,210,,,
      Taiwan,    1986 to 1990,6760,200,1625,3965,585,390,,,
      Taiwan,    1991 to 1995,23365,1770,6985,12070,1700,845,,,
      Taiwan,    1996 to 2001,30285,5645,7445,15600,900,690,,,
      Taiwan,  Non-permanent residents,3380,150,2120,1000,50,55,,,
    South-East Asia,Total - Immigrant Status and Period of Immigration,482500,24420,58970,318565,43105,37445,,,
    South-East Asia,  Non-immigrants,2330,825,515,835,60,95,,,
    South-East Asia,  Immigrants,468420,23065,55680,309895,42705,37070,,,
    South-East Asia,    Before 1915,0,0,0,0,0,0,,,
    South-East Asia,    1916 to 1920,15,0,0,0,0,15,,,
    South-East Asia,    1921 to 1925,0,0,0,0,0,0,,,
    South-East Asia,    1926 to 1930,15,0,0,0,0,15,,,
    South-East Asia,    1931 to 1935,20,0,0,0,0,20,,,
    South-East Asia,    1936 to 1940,35,0,0,0,0,30,,,
    South-East Asia,    1941 to 1945,35,0,0,0,15,20,,,
    South-East Asia,    1946 to 1950,215,0,0,20,30,160,,,
    South-East Asia,    1951 to 1955,770,0,0,145,40,585,,,
    South-East Asia,    1956 to 1960,1105,0,0,335,200,570,,,
    South-East Asia,    1961 to 1965,2255,0,0,405,1090,760,,,
    South-East Asia,    1966 to 1970,11825,0,0,3760,6000,2065,,,
    South-East Asia,    1971 to 1975,34485,0,0,22300,8815,3370,,,
    South-East Asia,    1976 to 1980,72825,0,4520,55065,7080,6155,,,
    South-East Asia,    1981 to 1985,66570,0,7455,47675,4550,6890,,,
    South-East Asia,    1986 to 1990,92825,2815,14715,64045,5170,6080,,,
    South-East Asia,    1991 to 1995,109105,7400,17035,71065,6055,7550,,,
    South-East Asia,    1996 to 2001,76315,12850,11955,45085,3645,2780,,,
    South-East Asia,  Non-permanent residents,11755,530,2775,7835,340,275,,,
      Brunei Darussalam,Total - Immigrant Status and Period of Immigration,4400,255,745,3045,220,130,,,
      Brunei Darussalam,  Non-immigrants,20,10,10,0,0,0,,,
      Brunei Darussalam,  Immigrants,4330,250,705,3035,220,130,,,
      Brunei Darussalam,    Before 1915,0,0,0,0,0,0,,,
      Brunei Darussalam,    1916 to 1920,0,0,0,0,0,0,,,
      Brunei Darussalam,    1921 to 1925,0,0,0,0,0,0,,,
      Brunei Darussalam,    1926 to 1930,0,0,0,0,0,0,,,
      Brunei Darussalam,    1931 to 1935,0,0,0,0,0,0,,,
      Brunei Darussalam,    1936 to 1940,0,0,0,0,0,0,,,
      Brunei Darussalam,    1941 to 1945,0,0,0,0,0,0,,,
      Brunei Darussalam,    1946 to 1950,0,0,0,0,0,0,,,
      Brunei Darussalam,    1951 to 1955,0,0,0,0,0,0,,,
      Brunei Darussalam,    1956 to 1960,0,0,0,0,0,0,,,
      Brunei Darussalam,    1961 to 1965,10,0,0,0,10,0,,,
      Brunei Darussalam,    1966 to 1970,80,0,0,45,20,10,,,
      Brunei Darussalam,    1971 to 1975,380,0,0,300,70,15,,,
      Brunei Darussalam,    1976 to 1980,665,0,60,545,45,10,,,
      Brunei Darussalam,    1981 to 1985,525,0,45,440,15,35,,,
      Brunei Darussalam,    1986 to 1990,1840,130,420,1225,45,20,,,
      Brunei Darussalam,    1991 to 1995,665,90,140,385,15,30,,,
      Brunei Darussalam,    1996 to 2001,175,25,40,85,0,10,,,
      Brunei Darussalam,  Non-permanent residents,45,0,35,10,0,0,,,
      Cambodia,Total - Immigrant Status and Period of Immigration,19000,305,1860,14040,1515,1270,,,
      Cambodia,  Non-immigrants,55,10,0,40,10,0,,,
      Cambodia,  Immigrants,18720,300,1820,13835,1505,1260,,,
      Cambodia,    Before 1915,0,0,0,0,0,0,,,
      Cambodia,    1916 to 1920,0,0,0,0,0,0,,,
      Cambodia,    1921 to 1925,0,0,0,0,0,0,,,
      Cambodia,    1926 to 1930,0,0,0,0,0,0,,,
      Cambodia,    1931 to 1935,0,0,0,0,0,0,,,
      Cambodia,    1936 to 1940,0,0,0,0,0,0,,,
      Cambodia,    1941 to 1945,0,0,0,0,0,0,,,
      Cambodia,    1946 to 1950,0,0,0,0,0,0,,,
      Cambodia,    1951 to 1955,10,0,0,0,0,10,,,
      Cambodia,    1956 to 1960,10,0,0,10,0,0,,,
      Cambodia,    1961 to 1965,10,0,0,0,0,10,,,
      Cambodia,    1966 to 1970,20,0,0,10,10,0,,,
      Cambodia,    1971 to 1975,275,0,0,205,60,10,,,
      Cambodia,    1976 to 1980,3860,0,160,3080,370,240,,,
      Cambodia,    1981 to 1985,5955,0,535,4560,470,385,,,
      Cambodia,    1986 to 1990,5280,15,615,4015,305,330,,,
      Cambodia,    1991 to 1995,1910,105,180,1270,140,215,,,
      Cambodia,    1996 to 2001,1400,180,335,695,135,60,,,
      Cambodia,  Non-permanent residents,220,10,40,165,0,10,,,
      East Timor,Total - Immigrant Status and Period of Immigration,35,0,0,25,0,0,,,
      East Timor,  Non-immigrants,0,0,0,0,0,0,,,
      East Timor,  Immigrants,35,0,0,25,0,0,,,
      East Timor,    Before 1915,0,0,0,0,0,0,,,
      East Timor,    1916 to 1920,0,0,0,0,0,0,,,
      East Timor,    1921 to 1925,0,0,0,0,0,0,,,
      East Timor,    1926 to 1930,0,0,0,0,0,0,,,
      East Timor,    1931 to 1935,0,0,0,0,0,0,,,
      East Timor,    1936 to 1940,0,0,0,0,0,0,,,
      East Timor,    1941 to 1945,0,0,0,0,0,0,,,
      East Timor,    1946 to 1950,0,0,0,0,0,0,,,
      East Timor,    1951 to 1955,0,0,0,0,0,0,,,
      East Timor,    1956 to 1960,0,0,0,0,0,0,,,
      East Timor,    1961 to 1965,0,0,0,0,0,0,,,
      East Timor,    1966 to 1970,0,0,0,0,0,0,,,
      East Timor,    1971 to 1975,0,0,0,0,0,0,,,
      East Timor,    1976 to 1980,15,0,0,15,0,0,,,
      East Timor,    1981 to 1985,0,0,0,0,0,0,,,
      East Timor,    1986 to 1990,10,0,0,10,0,0,,,
      East Timor,    1991 to 1995,0,0,0,0,0,0,,,
      East Timor,    1996 to 2001,15,0,0,0,0,0,,,
      East Timor,  Non-permanent residents,0,0,0,0,0,0,,,
      Indonesia,Total - Immigrant Status and Period of Immigration,10590,710,1525,4620,1695,2030,,,
      Indonesia,  Non-immigrants,200,55,70,65,0,10,,,
      Indonesia,  Immigrants,9350,595,800,4275,1685,2000,,,
      Indonesia,    Before 1915,0,0,0,0,0,0,,,
      Indonesia,    1916 to 1920,0,0,0,0,0,0,,,
      Indonesia,    1921 to 1925,0,0,0,0,0,0,,,
      Indonesia,    1926 to 1930,10,0,0,0,0,10,,,
      Indonesia,    1931 to 1935,0,0,0,0,0,0,,,
      Indonesia,    1936 to 1940,10,0,0,0,0,10,,,
      Indonesia,    1941 to 1945,0,0,0,0,0,0,,,
      Indonesia,    1946 to 1950,120,0,0,0,25,95,,,
      Indonesia,    1951 to 1955,475,0,0,75,20,380,,,
      Indonesia,    1956 to 1960,665,0,0,155,100,410,,,
      Indonesia,    1961 to 1965,335,0,0,85,85,165,,,
      Indonesia,    1966 to 1970,1075,0,0,315,405,355,,,
      Indonesia,    1971 to 1975,1080,0,0,630,350,105,,,
      Indonesia,    1976 to 1980,810,0,155,375,160,130,,,
      Indonesia,    1981 to 1985,755,0,105,425,105,110,,,
      Indonesia,    1986 to 1990,1005,80,185,490,150,100,,,
      Indonesia,    1991 to 1995,1100,100,115,610,180,95,,,
      Indonesia,    1996 to 2001,1920,415,235,1120,105,45,,,
      Indonesia,  Non-permanent residents,1035,60,655,285,15,20,,,
      Laos,Total - Immigrant Status and Period of Immigration,14355,125,1635,11010,900,685,,,
      Laos,  Non-immigrants,60,0,10,35,0,20,,,
      Laos,  Immigrants,14095,125,1590,10825,880,665,,,
      Laos,    Before 1915,0,0,0,0,0,0,,,
      Laos,    1916 to 1920,0,0,0,0,0,0,,,
      Laos,    1921 to 1925,0,0,0,0,0,0,,,
      Laos,    1926 to 1930,10,0,0,0,0,10,,,
      Laos,    1931 to 1935,0,0,0,0,0,0,,,
      Laos,    1936 to 1940,0,0,0,0,0,0,,,
      Laos,    1941 to 1945,0,0,0,0,0,0,,,
      Laos,    1946 to 1950,10,0,0,10,0,0,,,
      Laos,    1951 to 1955,30,0,0,10,0,15,,,
      Laos,    1956 to 1960,25,0,0,20,0,0,,,
      Laos,    1961 to 1965,10,0,0,10,0,0,,,
      Laos,    1966 to 1970,55,0,0,35,15,10,,,
      Laos,    1971 to 1975,160,0,0,120,15,20,,,
      Laos,    1976 to 1980,6205,0,450,4995,510,245,,,
      Laos,    1981 to 1985,3270,0,350,2550,190,185,,,
      Laos,    1986 to 1990,2640,40,510,1900,80,105,,,
      Laos,    1991 to 1995,1245,50,230,865,50,50,,,
      Laos,    1996 to 2001,455,40,50,315,25,30,,,
      Laos,  Non-permanent residents,205,0,35,145,15,0,,,
      Malaysia,Total - Immigrant Status and Period of Immigration,21630,1075,2815,12840,2945,1955,,,
      Malaysia,  Non-immigrants,235,90,65,80,0,10,,,
      Malaysia,  Immigrants,20385,890,2375,12320,2890,1925,,,
      Malaysia,    Before 1915,0,0,0,0,0,0,,,
      Malaysia,    1916 to 1920,0,0,0,0,0,0,,,
      Malaysia,    1921 to 1925,0,0,0,0,0,0,,,
      Malaysia,    1926 to 1930,0,0,0,0,0,0,,,
      Malaysia,    1931 to 1935,0,0,0,0,0,0,,,
      Malaysia,    1936 to 1940,10,0,0,0,0,10,,,
      Malaysia,    1941 to 1945,0,0,0,0,0,0,,,
      Malaysia,    1946 to 1950,15,0,0,0,0,0,,,
      Malaysia,    1951 to 1955,45,0,0,15,0,35,,,
      Malaysia,    1956 to 1960,35,0,0,0,0,25,,,
      Malaysia,    1961 to 1965,140,0,0,20,60,60,,,
      Malaysia,    1966 to 1970,1075,0,0,310,545,220,,,
      Malaysia,    1971 to 1975,2270,0,0,1335,665,270,,,
      Malaysia,    1976 to 1980,2505,0,230,1720,290,265,,,
      Malaysia,    1981 to 1985,2025,0,255,1390,175,205,,,
      Malaysia,    1986 to 1990,6570,475,1255,3820,590,430,,,
      Malaysia,    1991 to 1995,3690,200,400,2385,395,310,,,
      Malaysia,    1996 to 2001,2005,215,235,1320,170,70,,,
      Malaysia,  Non-permanent residents,1010,95,380,440,60,35,,,
      Myanmar,Total - Immigrant Status and Period of Immigration,3740,85,205,2190,585,675,,,
      Myanmar,  Non-immigrants,0,0,0,0,0,0,,,
      Myanmar,  Immigrants,3645,85,190,2115,580,670,,,
      Myanmar,    Before 1915,0,0,0,0,0,0,,,
      Myanmar,    1916 to 1920,0,0,0,0,0,0,,,
      Myanmar,    1921 to 1925,0,0,0,0,0,0,,,
      Myanmar,    1926 to 1930,0,0,0,0,0,0,,,
      Myanmar,    1931 to 1935,15,0,0,0,0,15,,,
      Myanmar,    1936 to 1940,10,0,0,0,0,0,,,
      Myanmar,    1941 to 1945,0,0,0,0,0,0,,,
      Myanmar,    1946 to 1950,15,0,0,0,0,15,,,
      Myanmar,    1951 to 1955,65,0,0,0,10,55,,,
      Myanmar,    1956 to 1960,80,0,0,10,35,35,,,
      Myanmar,    1961 to 1965,70,0,0,20,20,30,,,
      Myanmar,    1966 to 1970,350,0,0,70,150,140,,,
      Myanmar,    1971 to 1975,555,0,0,295,175,80,,,
      Myanmar,    1976 to 1980,415,0,0,295,70,55,,,
      Myanmar,    1981 to 1985,315,0,10,210,30,75,,,
      Myanmar,    1986 to 1990,490,15,55,340,30,50,,,
      Myanmar,    1991 to 1995,555,15,70,350,45,75,,,
      Myanmar,    1996 to 2001,710,55,55,530,20,50,,,
      Myanmar,  Non-permanent residents,90,0,20,70,0,0,,,
      Philippines,Total - Immigrant Status and Period of Immigration,239435,15695,26610,154605,23755,18765,,,
      Philippines,  Non-immigrants,640,220,165,230,15,15,,,
      Philippines,  Immigrants,232335,15275,25710,149135,23565,18650,,,
      Philippines,    Before 1915,0,0,0,0,0,0,,,
      Philippines,    1916 to 1920,15,0,0,0,0,15,,,
      Philippines,    1921 to 1925,0,0,0,0,0,0,,,
      Philippines,    1926 to 1930,0,0,0,0,0,0,,,
      Philippines,    1931 to 1935,10,0,0,0,0,10,,,
      Philippines,    1936 to 1940,0,0,0,0,0,0,,,
      Philippines,    1941 to 1945,20,0,0,0,10,10,,,
      Philippines,    1946 to 1950,10,0,0,0,0,10,,,
      Philippines,    1951 to 1955,50,0,0,0,10,35,,,
      Philippines,    1956 to 1960,125,0,0,45,40,40,,,
      Philippines,    1961 to 1965,1485,0,0,210,820,450,,,
      Philippines,    1966 to 1970,8070,0,0,2495,4425,1150,,,
      Philippines,    1971 to 1975,24155,0,0,15475,6415,2265,,,
      Philippines,    1976 to 1980,20905,0,455,14640,2820,3000,,,
      Philippines,    1981 to 1985,16575,0,1065,11390,1245,2875,,,
      Philippines,    1986 to 1990,39060,1000,5405,27735,2240,2680,,,
      Philippines,    1991 to 1995,66460,4800,10025,44165,3285,4185,,,
      Philippines,    1996 to 2001,55390,9480,8760,32970,2250,1930,,,
      Philippines,  Non-permanent residents,6455,205,740,5240,175,100,,,
      Singapore,Total - Immigrant Status and Period of Immigration,9945,1145,1470,5705,890,740,,,
      Singapore,  Non-immigrants,375,170,125,85,0,10,,,
      Singapore,  Immigrants,9185,915,1205,5455,890,725,,,
      Singapore,    Before 1915,0,0,0,0,0,0,,,
      Singapore,    1916 to 1920,0,0,0,0,0,0,,,
      Singapore,    1921 to 1925,0,0,0,0,0,0,,,
      Singapore,    1926 to 1930,0,0,0,0,0,0,,,
      Singapore,    1931 to 1935,0,0,0,0,0,0,,,
      Singapore,    1936 to 1940,0,0,0,0,0,0,,,
      Singapore,    1941 to 1945,0,0,0,0,0,0,,,
      Singapore,    1946 to 1950,30,0,0,0,0,30,,,
      Singapore,    1951 to 1955,65,0,0,20,0,35,,,
      Singapore,    1956 to 1960,105,0,0,65,10,30,,,
      Singapore,    1961 to 1965,90,0,0,20,65,10,,,
      Singapore,    1966 to 1970,465,0,0,205,205,55,,,
      Singapore,    1971 to 1975,670,0,0,465,125,80,,,
      Singapore,    1976 to 1980,880,0,40,625,90,120,,,
      Singapore,    1981 to 1985,845,0,90,605,75,75,,,
      Singapore,    1986 to 1990,2690,105,610,1655,170,155,,,
      Singapore,    1991 to 1995,1565,215,300,855,85,110,,,
      Singapore,    1996 to 2001,1780,595,155,945,65,30,,,
      Singapore,  Non-permanent residents,385,60,150,170,0,10,,,
      Thailand,Total - Immigrant Status and Period of Immigration,8990,1775,3940,2855,270,150,,,
      Thailand,  Non-immigrants,260,175,50,30,0,0,,,
      Thailand,  Immigrants,8115,1550,3600,2555,270,150,,,
      Thailand,    Before 1915,0,0,0,0,0,0,,,
      Thailand,    1916 to 1920,0,0,0,0,0,0,,,
      Thailand,    1921 to 1925,0,0,0,0,0,0,,,
      Thailand,    1926 to 1930,0,0,0,0,0,0,,,
      Thailand,    1931 to 1935,0,0,0,0,0,0,,,
      Thailand,    1936 to 1940,0,0,0,0,0,0,,,
